"","home_team","away_team","home_score","away_score","tournament","city","country","neutral","gameresult"
"16645","Portugal","Finland",1,0,"UEFA Euro qualification","Porto","Portugal",FALSE,"1"
"16646","Other","Other",5,0,"South Pacific Games","Lae","Other",TRUE,"1"
"16647","Switzerland","Scotland",2,2,"UEFA Euro qualification","Berne","Switzerland",FALSE,"0"
"16648","Wales","Brazil",1,0,"Friendly","Cardiff","Wales",FALSE,"1"
"16649","Other","Other",1,1,"Friendly","Hamilton","Other",FALSE,"0"
"16650","Other","Other",14,1,"South Pacific Games","Lae","Other",TRUE,"1"
"16651","Other","Other",0,1,"South Pacific Games","Lae","Other",FALSE,"2"
"16652","Other","Other",3,0,"South Pacific Games","Lae","Other",TRUE,"1"
"16653","Other","Other",3,0,"South Pacific Games","Lae","Other",TRUE,"1"
"16654","United States","Other",1,0,"Friendly","High Point","United States",FALSE,"1"
"16655","Other","Other",0,18,"South Pacific Games","Lae","Other",TRUE,"2"
"16656","Other","Other",5,0,"South Pacific Games","Lae","Other",FALSE,"1"
"16657","Other","Other",3,1,"South Pacific Games","Lae","Other",TRUE,"1"
"16658","Other","Other",1,4,"South Pacific Games","Lae","Other",TRUE,"2"
"16659","Other","Other",0,5,"South Pacific Games","Lae","Other",TRUE,"2"
"16660","Other","Other",5,0,"South Pacific Games","Lae","Other",TRUE,"1"
"16661","Other","Other",1,1,"South Pacific Games","Lae","Other",TRUE,"0"
"16662","Other","Other",3,1,"South Pacific Games","Lae","Other",TRUE,"1"
"16663","Other","Other",2,1,"Friendly","Gaborone","Other",FALSE,"1"
"16664","Egypt","Nigeria",1,2,"Friendly","Ismailia","Egypt",FALSE,"2"
"16665","Other","Other",1,2,"Friendly","Ismailia","Egypt",TRUE,"2"
"16666","Other","Other",1,0,"Friendly","Alexandria","Egypt",TRUE,"1"
"16667","Other","Other",0,3,"Friendly","Alexandria","Egypt",TRUE,"2"
"16668","Egypt","Other",2,3,"Friendly","Ismailia","Egypt",FALSE,"2"
"16669","Other","Uganda",8,1,"Friendly","Ismailia","Egypt",TRUE,"1"
"16670","Other","Other",0,1,"Friendly","Alexandria","Egypt",TRUE,"2"
"16671","Other","Other",5,0,"Friendly","Alexandria","Egypt",TRUE,"1"
